country,year,gdp_per_capita,life_expectancy
BEL,2021,51658.238294958,81.790243902439
BEL,2022,50822.2518538518,81.7487804878049
BEL,2023,54690.0942734964,82.3975609756098
BLZ,2015,6154.49593498217,71.647
BLZ,2016,6142.49873185177,71.843
BLZ,2017,6072.58267640581,72.062
BLZ,2018,6031.28139580144,72.322
BLZ,2019,6190.04792278445,72.577
BLZ,2020,5227.19363786168,71.58
BLZ,2021,6122.61158580079,70.917
BLZ,2022,7068.45478269722,72.19
BLZ,2023,7459.99815132837,73.566
BEN,2015,1002.41886879614,59.123
BEN,2016,1010.5338961993,59.283
BEN,2017,1054.97408066814,59.528
BEN,2018,1151.7409703472,59.71
BEN,2019,1130.82135339795,59.888
BEN,2020,1200.19426631122,60.154
BEN,2021,1318.65158107487,59.61
BEN,2022,1266.42710981159,60.475
BEN,2023,1394.17784663045,60.774
BMU,2015,104855.366822135,80.338
BMU,2016,108747.356144305,80.476
BMU,2017,112339.425587467,80.686
BMU,2018,113204.82210838,80.986
BMU,2019,115798.040775578,81.251
BMU,2020,106976.546239632,81.456
BMU,2021,112765.08167306,81.745
BMU,2022,121613.939983629,82.062
BMU,2023,132604.439086216,82.309
BTN,2015,2954.04081911097,70.797
BTN,2016,3152.30905106786,71.119
BTN,2017,3435.28804735662,71.413
BTN,2018,3400.20417245342,71.711
BTN,2019,3576.87987100503,72.005
BTN,2020,3191.66906999331,72.253
BTN,2021,3570.61257980872,72.448
BTN,2022,3711.32767981591,72.754
BTN,2023,3839.4093039286,72.975
BOL,2015,2996.01289811344,67.205
BOL,2016,3035.87347732132,67.392
BOL,2017,3306.30301224425,67.536
BOL,2018,3500.72642189887,67.699
BOL,2019,3503.89601123129,67.82
BOL,2020,3099.94219053514,62.906
BOL,2021,3384.84486462654,61.427
BOL,2022,3643.92826984604,67.434
BOL,2023,3686.27996442176,68.581
BIH,2015,4662.25883724069,77.073
BIH,2016,4928.5665251728,77.124
BIH,2017,5345.01985489192,77.385
BIH,2018,6047.84584261133,77.942
BIH,2019,6122.3753450882,77.394
BIH,2020,6130.31133245161,76.04
BIH,2021,7295.3438240957,74.567
BIH,2022,7655.59421024383,76.777
BIH,2023,8663.02322987879,77.85
BWA,2015,6141.20394726616,63.215
BWA,2016,6749.05994339013,64.32
BWA,2017,7104.96401088027,65.42
BWA,2018,7407.95940141786,66.371
BWA,2019,7172.08956480028,67.167
BWA,2020,6323.29749806946,67.643
BWA,2021,7807.88794500125,63.303
BWA,2022,8328.70905682185,68.749
BWA,2023,7826.35376483298,69.163
BRA,2015,8936.19661712113,75.106
BRA,2016,8836.28652735657,75.081
BRA,2017,10080.5092819305,75.383
BRA,2018,9300.66164923219,75.633
BRA,2019,9029.83326681073,75.809
BRA,2020,7074.19378337644,74.506
BRA,2021,7972.5366498646,73.038
BRA,2022,9281.33334441234,74.872
BRA,2023,10377.5892792557,75.848
BRN,2015,30625.128732694,74.88
BRN,2016,26663.2973199878,74.905
BRN,2017,28024.3824618568,74.943
BRN,2018,30988.1190497851,74.992
BRN,2019,30426.5730284202,75.049
BRN,2020,26834.3592463839,75.114
BRN,2021,31006.9636220576,74.869
BRN,2022,36632.9280421411,72.917
BRN,2023,32890.5492465722,75.327
BGR,2015,7268.65445473873,74.6146341463415
BGR,2016,7822.49923292968,74.8121951219512
BGR,2017,8696.68930427924,74.8146341463415
BGR,2018,9872.38507789106,74.9634146341464
BGR,2019,10372.8044341114,75.1121951219512
BGR,2020,10769.9475699414,73.3560975609756
BGR,2021,12972.2173356002,71.2121951219512
BGR,2022,13999.6719197289,74.1609756097561
BGR,2023,15883.8618545581,75.7073170731707
BFA,2015,630.124750752312,58.778
BFA,2016,663.742364842886,59.173
BFA,2017,709.091535894695,59.578
BFA,2018,777.465618514048,59.972
BFA,2019,764.853077774946,60.184
BFA,2020,825.237038782475,60.454
BFA,2021,895.535288442991,60.046
BFA,2022,836.118304593682,60.7
BFA,2023,882.689810086163,61.092
BDI,2015,280.966831311923,60.107
BDI,2016,235.286205393908,60.789
BDI,2017,236.694472592753,61.345
BDI,2018,224.89939239264,61.806
BDI,2019,210.236494521532,62.18
BDI,2020,210.008139902508,62.569
BDI,2021,214.091455416133,62.101
BDI,2022,250.634225368744,62.882
BDI,2023,192.074305359351,63.651
CPV,2015,3415.06266730931,74.096
CPV,2016,3608.96605234906,74.35
CPV,2017,3893.09571382506,74.71
CPV,2018,4294.96510035729,74.84
CPV,2019,4380.78117331128,75.449
CPV,2020,3539.22661248299,73.818
CPV,2021,3971.44409203423,74.424
CPV,2022,4323.31362032709,75.907
CPV,2023,4861.29184126229,76.059
KHM,2015,1547.32010444393,69.398
KHM,2016,1675.19555711109,69.635
KHM,2017,1826.35391688754,69.842
KHM,2018,2036.67377566578,69.993
KHM,2019,2225.87705485686,70.127
KHM,2020,2081.73914242939,70.059
KHM,2021,2167.40324198499,69.301
KHM,2022,2325.03050040841,70.528
KHM,2023,2429.74853452838,70.668
CMR,2015,1415.00009710569,59.687
CMR,2016,1441.7201725688,60.293
CMR,2017,1496.08951771242,60.817
CMR,2018,1610.69641591017,61.189
CMR,2019,1555.22660476477,61.695
CMR,2020,1555.60370660749,61.674
CMR,2021,1672.32657340872,61.146
CMR,2022,1604.87726954895,62.443
CMR,2023,1736.86091073524,63.7
CAN,2015,43594.1941045394,81.8258536585366
CAN,2016,42314.0615817218,81.94
CAN,2017,45129.628116623,81.8129268292683
CAN,2018,46539.1761570405,81.8087804878049
CAN,2019,46352.8693445211,82.1636585365854
CAN,2020,43537.839298904,81.5351219512195
CAN,2021,52886.6616372703,81.5168292682927
CAN,2022,56256.8007264015,81.2453658536585
CAN,2023,54220.3285039875,81.6465853658537
CYM,2015,76379.2095108681,78.119
CYM,2016,77802.2541567187,78.367
CYM,2017,80053.9444506891,78.615
CYM,2018,83865.5531568184,78.835
CYM,2019,88254.2903677044,79.052
CYM,2020,82338.7982853661,79.23
CYM,2021,86438.445257404,79.3
CYM,2022,92202.1478031576,79.984
CYM,2023,97749.5078960846,80.358
CAF,2015,366.322853938121,51.934
CAF,2016,387.176203444318,50.999
CAF,2017,432.324025684263,45.231
CAF,2018,455.243962859534,52.297
CAF,2019,449.228467602439,31.53
CAF,2020,462.879071294011,50.596
CAF,2021,492.263142830507,40.279
CAF,2022,467.359825026238,18.818
CAF,2023,495.978897288721,57.408
TCD,2015,993.990730610869,51.32
TCD,2016,861.831767630746,51.603
TCD,2017,854.46120040098,51.875
TCD,2018,948.656629871231,52.447
TCD,2019,893.336441643325,52.993
TCD,2020,866.947814890409,53.082
TCD,2021,946.358500208374,53.136
TCD,2022,966.036468278568,54.528
TCD,2023,989.058528968588,55.069
CHI,2015,61852.0735568957,81.4
CHI,2016,55950.1482938989,81.2
CHI,2017,55806.5708942966,81.0
CHI,2018,60783.3529257544,81.1
CHI,2019,60568.108347955,81.2
CHI,2020,56785.9402005039,80.9
CHI,2021,66912.1753241171,80.3
CHI,2022,67627.3084478235,81.0
CHI,2023,74589.1381155014,81.1
CHL,2015,13433.9202987032,80.008
CHL,2016,13649.8520452803,80.295
CHL,2017,14879.9086227187,80.61
CHL,2018,15659.4808675628,80.559
CHL,2019,14495.716721687,80.324
CHL,2020,13114.815470545,79.349
CHL,2021,16206.8325493421,78.876
CHL,2022,15405.6165774073,79.176
CHL,2023,17067.0364799154,81.167
CHN,2015,8175.33285077393,76.975
CHN,2016,8254.86859320357,77.214
CHN,2017,8979.67652709856,77.235
CHN,2018,10085.6638148819,77.709
CHN,2019,10342.9009524335,77.94
CHN,2020,10627.4637989619,78.019
CHN,2021,12887.4357242941,78.117
CHN,2022,12970.6056414327,78.202
CHN,2023,12951.1782397043,77.953
COL,2015,6248.51490534512,76.067
COL,2016,5959.84250367574,76.228
COL,2017,6479.53231292429,76.418
COL,2018,6816.96818309544,76.579
COL,2019,6472.54544924705,76.793
COL,2020,5339.68711357943,74.757
COL,2021,6222.62164397614,72.698
COL,2022,6680.44506854481,76.508
COL,2023,7000.83660501046,77.725
COM,2015,1329.3704808998,64.473
COM,2016,1365.48403353158,64.792
COM,2017,1423.92480215551,65.127
COM,2018,1540.71132331975,65.401
COM,2019,1519.26386326167,65.662
COM,2020,1527.16990927956,65.756
COM,2021,1587.72988601478,65.201
COM,2022,1533.87755332151,66.481
COM,2023,1682.20285095721,66.777
COD,2015,467.9145805459,58.658
COD,2016,442.310472110228,59.081
COD,2017,436.584534687385,59.495
COD,2018,528.256019777898,59.926
COD,2019,557.044161335917,60.242
COD,2020,507.521230077872,60.428
COD,2021,558.034077296358,60.044
COD,2022,642.612267148918,60.979
COD,2023,633.395661686298,61.895
COG,2015,2439.35189403696,63.662
COG,2016,2093.10728558843,63.911
COG,2017,2211.63309874797,64.203
COG,2018,2694.43413191427,64.472
COG,2019,2488.42466724916,63.152
COG,2020,1993.586671931,64.391
COG,2021,2516.16255145432,64.192
COG,2022,2620.83804304713,65.0
COG,2023,2477.97845477092,65.772
CRI,2015,11714.7105980803,80.407
CRI,2016,12091.0301606335,79.988
CRI,2017,12317.0902771322,79.994
CRI,2018,12590.2493781628,80.09
CRI,2019,12884.6859951947,80.296
CRI,2020,12394.0493969354,79.725
CRI,2021,12838.1185359009,78.05
CRI,2022,13625.9008491478,79.316
CRI,2023,16942.0268119304,80.799
CIV,2015,1814.71855088017,58.281
CIV,2016,1862.59597081287,58.814
CIV,2017,1964.29930338343,59.315
CIV,2018,2130.86619381144,59.795
CIV,2019,2141.76836170115,60.274
CIV,2020,2179.72934832935,60.14
CIV,2021,2455.98127626488,60.29
CIV,2022,2333.37128334477,61.562
CIV,2023,2554.67304885576,61.944
HRV,2015,12285.3032582105,77.2756097560976
HRV,2016,12821.1738140304,77.9219512195122
HRV,2017,13902.6310485422,77.7268292682927
HRV,2018,15460.4183295843,77.919512195122
HRV,2019,15563.8167397199,78.2243902439024
HRV,2020,14808.4620188819,77.5243902439024
HRV,2021,17789.9304736722,76.4243902439025
HRV,2022,18466.0955472648,77.5756097560976
HRV,2023,21865.4562838641,78.4731707317073
CUB,2015,7727.91997207998,77.745
CUB,2016,8110.55873961397,77.571
CUB,2017,8610.60829531998,77.3
CUB,2018,8911.46205964193,77.426
CUB,2019,9232.26115935183,77.413
CUB,2020,9605.26125067263,77.407
CUW,2015,19361.8130008678,76.482
CUW,2016,18944.0961493998,76.322
CUW,2017,18938.2440469703,76.423
CUW,2018,19119.1243941688,76.493
CUW,2019,19220.6865793075,76.492
CUW,2020,16356.0933254541,76.501
CUW,2021,17979.9982909306,75.686
CUW,2022,20501.7522782219,76.729
CUW,2023,21061.741639092,76.8
CYP,2015,23487.228515625,81.464
CYP,2016,24715.154296875,81.534
CYP,2017,26696.990234375,81.543
CYP,2018,29599.986328125,81.556
CYP,2019,29703.052734375,81.454
CYP,2020,28649.015625,81.23
CYP,2021,33734.03515625,80.573
CYP,2022,33894.44921875,80.434
CYP,2023,36551.41796875,81.648
CZE,2015,17931.5987670768,78.5780487804878
CZE,2016,18753.9686718096,79.0268292682927
CZE,2017,20913.197632212,78.9780487804878
CZE,2018,23705.9329811299,79.0292682926829
CZE,2019,24062.7190013343,79.2292682926829
CZE,2020,23472.8915454417,78.2268292682927
CZE,2021,27696.4619527544,77.2219512195122
CZE,2022,28282.2236715857,78.9292682926829
CZE,2023,31591.0568216357,79.8780487804878
DNK,2015,53094.0133607574,80.7024390243902
DNK,2016,54500.9260410217,80.8536585365854
DNK,2017,57521.5514992225,81.1024390243903
DNK,2018,61324.7665045565,80.9536585365854
DNK,2019,59404.2663247723,81.4512195121951
DNK,2020,60985.4885601514,81.6024390243903
DNK,2021,69727.9873677012,81.4048780487805
